物理;ぶつり;physics。 natural law
セルフサービス;セルフサービス;self-service
決意;けつい;resolution or determination
奨学金;しょうがくきん;scholarship or fellowship
狂う;くるう;become insane or get out of order
瞬間;しゅんかん;instant or moment
障子;しょうじ;paper sliding-door
転がる;ころがる;roll over or tumble
くるくる;くるくる;round and round or spin
雄;おす;male
可愛がる;かわいがる;love or cherish
眺める;ながめる;look out or gaze
線路;せんろ;line or track
横切る;よこぎる;cross or go across
塀;へい;fence or wall
名付ける;なづける;name or give a name to
百科事典;ひゃっかじてん;encyclopedia
飛び下りる;とびおりる;jump off or jump down
雌;めす;female
猿;さる;monkey or ape
ジャンプ;ジャンプ;jump
ぶら下がる;ぶらさがる;hang down or dangle
狙う;ねらう;aim or be after
地獄;じごく;hell or inferno
章;しょう;chapter
目次;もくじ;table of contents
彫る;ほる;engrave or carve
車輪;しゃりん;wheel
頑丈;がんじょう;solid or strong
生まれつき;うまれつき;born or by nature
服装;ふくそう;clothes or garments
中央;ちゅうおう;center
双子;ふたご;twins
恐れ;おそれ;fear or risk
役人;やくにん;government official
牧場;ぼくじょう;stock farm or pasture
寄る;よる;stop by or stop off
年中;ねんじゅう;all year
祈る;いのる;pray or wish for
裸;はだか;naked body or bareness
襟;えり;collar or lapel
心臓;しんぞう;heart
戦場;せんじょう;battlefield or front
戦死;せんし;death in war
先祖;せんぞ;forefather or ancestor
親戚;しんせき;a relative
市外;しがい;city outskirts or suburbs
白髪;しらが;white hair or gray hair
仮名遣い;かなづかい;kana orthography or use of kana
がん;がん;cancer
抱く;だく;hug or embrace
墓;はか;grave or gravestone
大正;たいしょう;Taisho era
明治;めいじ;Meiji era
祖先;そせん;ancestor or forefather
粗筋;あらすじ;outline or plot
酢;す;vinegar
報酬;ほうしゅう;remuneration or reward
郊外;こうがい;suburbs or outskirts
近郊;きんこう;suburbs or outskirts
学園;がくえん;educational institution or school
初期;しょき;early days or initial
邪魔;じゃま;hindrance or obstruction
くしゃみ;くしゃみ;sneeze
無邪気;むじゃき;innocence or simplicity
つかまる;つかまる;grip or grab
だるい;だるい;be dull or feel dull or weary
大概;たいがい;generally or probably
手洗い;てあらい;toilet or washstand
刻む;きざむ;cut fine
模様;もよう;pattern or design
フライパン;フライパン;frying pan
玉ねぎ;たまねぎ;onion
玉;たま;bead or ball
銅;どう;copper
象徴;しょうちょう;symbol or symbolize
天皇;てんのう;emperor
浮かべる;うかべる;set afloat
班;はん;squad or group
召し上がる;めしあがる;eat or drink
学ぶ;まなぶ;learn or study
哲学;てつがく;philosophy
改善;かいぜん;improvement or amelioration
親善;しんぜん;goodwill or friendly relations
待遇;たいぐう;treatment or pay
綱;つな;rope or line
方面;ほうめん;direction
縄;なわ;rope or cord
縛る;しばる;bind or restrict
縫う;ぬう;sew or stitch
焦点;しょうてん;focus or focal point
絞る;しぼる;wring out or squeeze
紺;こん;dark blue or navy blue
朝顔;あさがお;morning glory
紅葉;こうよう;autumn leaves or crimson foliage
あちらこちら;あちらこちら;all over or here and there
クッキー;クッキー;cookie or biscuit
口紅;くちべに;lipstick or rouge
虹;にじ;rainbow
梅;うめ;plum blossom
梅干;うめぼし;pickled plum
じめじめ;じめじめ;feel damp or clammy
梅雨明け;つゆあけ;end of the rainy season
梅雨入り;つゆいり;start of the rainy season
解説;かいせつ;explanation or commentary
読者;どくしゃ;reader or subscriber
欄;らん;column or field
栓抜き;せんぬき;bottle opener or corkscrew
巣;す;nest or den
囲碁;いご;game of go
嘘つき;うそつき;liar
考慮;こうりょ;consideration or deliberation
癖;くせ;habit or mannerism
下痢;げり;diarrhea
越す;こす;go over or surmount
峠;とうげ;mountain pass or ridge
